mechanism,target_id,bid_multiplier,won,won_task_count,payment,utility,truthful_bid_reference,task_id,true_bid,reported_bid,accepted,truthfulness_status
DIM,node_1,0.5,True,5,4046.1621703008036,-1279.9604719379577,1.0c,node_1,,,True,passed
DIM,node_1,0.7,True,4,3408.96048364364,-808.7414462507932,1.0c,node_1,,,True,passed
DIM,node_1,0.9,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.0,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.1,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.3,False,0,,0.0,1.0c,node_1,,,False,passed
DIM,node_1,1.5,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.5,True,4,1886.7818641753588,-1047.8916098266773,1.0c,node_1,,,True,passed
PRM,node_1,0.7,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,0.9,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.0,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.1,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.3,False,0,,0.0,1.0c,node_1,,,False,passed
PRM,node_1,1.5,False,0,,0.0,1.0c,node_1,,,False,passed
TRAIM,bs_1,0.5,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,0.7,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,0.9,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.0,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.1,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.3,False,0,,0.0,1.0c,bs_1,,,False,passed
TRAIM,bs_1,1.5,False,0,,0.0,1.0c,bs_1,,,False,passed
TOCA,task_2,0.5,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,867.0313181070045,True,passed
TOCA,task_2,0.7,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,1213.8438453498063,True,passed
TOCA,task_2,0.9,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,1560.656372592608,True,passed
TOCA,task_2,1.0,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,1734.062636214009,True,passed
TOCA,task_2,1.1,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,1907.46889983541,True,passed
TOCA,task_2,1.3,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,2254.281427078212,True,passed
TOCA,task_2,1.5,True,1,22.0,1712.062636214009,1.0v,task_2,1734.062636214009,2601.0939543210134,True,passed
