task_id,arrival_time,deadline,task_class,bid,accepted,selected_bs,selected_time_slots,payment,operational_cost,dynamic_price,smd_utility,social_welfare_contribution,cpu_demand,subchannel_demand,candidate_count,rejection_reason
task_1,0,5,B,183.390743,True,bs_5,0,151.65766,56.419179,56.419179,31.733083,126.971564,3,1,4,
task_2,0,5,A,303.058939,True,bs_16,0;1,302.486585,151.243292,151.243292,0.572354,151.815647,4,2,3,
task_3,0,5,C,403.849212,True,bs_29,0;1,388.683839,194.34192,194.34192,15.165373,209.507292,6,1,2,
task_4,1,6,C,298.804206,True,bs_6,1,243.294291,73.306041,73.306041,55.509915,225.498165,3,2,6,
task_5,1,6,C,347.158882,True,bs_19,1;2,298.672177,149.336089,149.336089,48.486705,197.822793,4,2,3,
task_6,1,6,C,248.414273,True,bs_5,1,187.607182,73.778927,73.778927,60.807091,174.635346,3,3,10,
task_7,1,6,C,231.811223,True,bs_26,1,187.407113,72.625109,72.625109,44.40411,159.186114,3,2,4,
task_8,2,7,A,387.708307,False,,,0.0,0.0,0.0,0.0,0.0,5,3,4,non_positive_utility
task_9,2,7,C,184.460401,True,bs_29,2,142.265616,60.73185,60.73185,42.194785,123.728551,3,2,2,
task_10,2,7,A,319.859152,False,,,0.0,0.0,0.0,0.0,0.0,4,3,4,non_positive_utility
task_11,2,7,B,141.646505,True,bs_19,3,106.780104,45.33417,45.33417,34.866401,96.312335,2,2,3,
task_12,3,8,B,144.482058,True,bs_29,3,111.655401,45.886287,45.886287,32.826657,98.595771,2,2,2,
task_13,3,8,C,301.306152,False,,,0.0,0.0,0.0,0.0,0.0,5,2,7,non_positive_utility
task_14,3,8,A,336.806815,True,bs_19,4;5,298.672177,149.336089,149.336089,38.134638,187.470726,4,2,5,
task_15,3,8,C,278.947858,False,,,0.0,0.0,0.0,0.0,0.0,4,2,6,non_positive_utility
task_16,4,9,A,294.545555,False,,,0.0,0.0,0.0,0.0,0.0,4,2,2,non_positive_utility
task_17,4,9,A,321.622899,False,,,0.0,0.0,0.0,0.0,0.0,4,3,6,non_positive_utility
task_18,4,9,C,370.731178,False,,,0.0,0.0,0.0,0.0,0.0,6,2,3,non_positive_utility
task_19,4,9,A,463.910349,True,bs_5,4;5,423.850237,193.850513,193.850513,40.060112,270.059836,5,2,7,
task_20,5,10,C,315.99979,False,,,0.0,0.0,0.0,0.0,0.0,5,2,6,non_positive_utility
task_21,5,10,B,208.611836,True,bs_8,5,166.159823,45.169391,45.169391,42.452013,163.442445,2,2,8,
task_22,5,10,A,380.96552,False,,,0.0,0.0,0.0,0.0,0.0,6,3,8,non_positive_utility
task_23,5,10,A,499.53438,True,bs_19,6;7,464.995465,224.004133,224.004133,34.538915,275.530247,6,3,3,
task_24,6,11,B,226.614041,True,bs_9,6,186.10607,68.262807,68.262807,40.507971,158.351234,3,1,4,
task_25,6,11,A,484.093539,True,bs_25,6;7,455.814648,207.501214,207.501214,28.278891,276.592325,6,2,8,
task_26,6,11,C,338.20112,True,bs_5,6;7,301.421223,144.664562,144.664562,36.779897,193.536558,4,1,7,
task_27,6,11,A,295.977873,False,,,0.0,0.0,0.0,0.0,0.0,5,2,7,non_positive_utility
task_28,7,12,C,274.300438,False,,,0.0,0.0,0.0,0.0,0.0,4,2,7,non_positive_utility
task_29,7,12,B,168.15634,True,bs_28,7,130.670498,55.382634,55.382634,37.485842,112.773706,2,2,2,
task_30,7,12,B,207.459929,True,bs_5,8,173.456154,56.419179,56.419179,34.003775,151.04075,3,1,7,
task_31,7,12,C,81.818933,True,bs_18,7,77.496244,38.748122,38.748122,4.322689,43.070811,1,3,6,
task_32,8,13,A,383.794523,False,,,0.0,0.0,0.0,0.0,0.0,5,3,5,non_positive_utility
task_33,8,13,A,360.868209,True,bs_23,8;9,355.806013,177.903006,177.903006,5.062196,182.965203,4,3,3,
task_34,8,13,C,300.954234,False,,,0.0,0.0,0.0,0.0,0.0,5,2,7,non_positive_utility
task_35,8,13,B,270.479363,True,bs_8,8;9,265.7023,132.85115,132.85115,4.777063,137.628213,4,1,10,
task_36,9,14,B,154.705353,True,bs_26,9,122.923371,45.188957,45.188957,31.781982,109.516396,2,1,3,
task_37,9,14,B,207.976038,True,bs_6,9,169.158016,73.306041,73.306041,38.818022,134.669997,3,2,8,
task_38,9,14,C,184.459745,True,bs_5,9,130.415479,57.865825,57.865825,54.044266,126.59392,2,3,7,
task_39,9,14,C,166.734998,True,bs_29,9,122.067195,45.886287,45.886287,44.667803,120.848711,2,2,5,
task_40,10,15,A,348.722862,False,,,0.0,0.0,0.0,0.0,0.0,5,2,3,non_positive_utility
task_41,10,15,C,232.53506,True,bs_26,10,186.663257,72.625109,72.625109,45.871803,159.909951,3,2,3,
task_42,10,15,B,198.577274,True,bs_30,10,164.870276,64.183945,64.183945,33.706998,134.393329,3,1,8,
task_43,10,15,C,253.347061,False,,,0.0,0.0,0.0,0.0,0.0,4,2,3,non_positive_utility
task_44,11,16,B,147.169932,True,bs_19,11,106.510272,45.33417,45.33417,40.65966,101.835762,2,2,3,
task_45,11,16,B,139.587729,True,bs_26,11,112.043781,45.188957,45.188957,27.543948,94.398772,2,1,3,
task_46,11,16,A,420.281797,False,,,0.0,0.0,0.0,0.0,0.0,6,3,8,non_positive_utility
task_47,11,16,C,407.059847,True,bs_12,11;12,393.366148,196.683074,196.683074,13.693699,210.376773,5,2,3,
task_48,12,17,B,258.898596,True,bs_9,12,216.374984,78.764777,78.764777,42.523612,180.133819,3,2,8,
task_49,12,17,C,175.523025,True,bs_8,12,133.243172,59.783017,59.783017,42.279853,115.740008,3,2,7,
task_50,12,17,C,355.180191,False,,,0.0,0.0,0.0,0.0,0.0,6,2,7,non_positive_utility
